grid_cell,pa_frac_all,pa_frac_pre2000,pa_frac_post2000,pa_frac_national,pa_frac_wetland,pa_frac_forest,pa_frac,n_pa_overlapping,pa_year_min,pa_year_first_major,newly_protected_2000_2024
1354,0,0,0,0,0,0,0,0,NA,NA,FALSE
1355,0,0,0,0,0,0,0,0,NA,NA,FALSE
1357,0.17944467356496385,0.16160116197368415,0.01784351159127971,0.17829081921301612,0,0.16160116197368415,0.17944467356496385,5,1990,1990,FALSE
1358,0.08064573688641438,0.08064573688641438,0,0.08064573688641438,0,0.08064573688641438,0.08064573688641438,2,1960,1960,FALSE
1359,0.02213241227487183,0.02213241227487183,0,0.02213241227487183,0,0.02213241227487183,0.02213241227487183,1,1996,1996,FALSE
1360,0.33622260478856675,0.3358738523469499,3.4875244161686935e-4,0.33622260478856675,0,0.3358738523469499,0.33622260478856675,3,1996,1996,FALSE
1361,0.581900700374138,0,0.581900700374138,0.581900700374138,0,0,0.581900700374138,2,2001,2001,TRUE
1377,0.45299487626378676,0.45299487626378676,0,0.45299487626378676,0,0.45299487626378676,0.45299487626378676,1,1980,1980,FALSE
1379,0,0,0,0,0,0,0,0,NA,NA,FALSE
1380,0,0,0,0,0,0,0,0,NA,NA,FALSE
