mean,sd,q025,median,q975,metric,period_pair,grid_cell
0.8741892942204634,0.054331210475630706,0.7684496858758014,0.8718212663531608,0.9809561151040525,prop_turnover,P1_P2,2267
0.8631727597012616,0.05470843172159973,0.7575048394127836,0.861382901620328,0.9731598129449899,prop_turnover,P1_P2,2268
0.8502037070236881,0.05505216998990746,0.7444589585719079,0.8497218265427539,0.9594800585927455,prop_turnover,P1_P2,2269
0.8359265552862009,0.05534874218325784,0.7337134533045925,0.8356235733794101,0.9501435793932254,prop_turnover,P1_P2,2270
0.8210699982853178,0.05577390619072952,0.711929170618644,0.8201423697370065,0.9354773311128446,prop_turnover,P1_P2,2271
0.8060838208615653,0.0562976620304991,0.7012908945916914,0.8051169929218489,0.9176114065829646,prop_turnover,P1_P2,2272
0.7911876814252581,0.05684928945408855,0.6829503653049529,0.7900500229536279,0.9036202946343708,prop_turnover,P1_P2,2273
0.7764824067812863,0.057378502231195644,0.6696859792898991,0.7754970936863312,0.8928363973649025,prop_turnover,P1_P2,2274
0.762034621810965,0.05786531960846994,0.6519072209673172,0.7606688770783734,0.8769570011188291,prop_turnover,P1_P2,2275
0.7479039608662876,0.05831448604717914,0.6327545637220323,0.7476730505218638,0.8664348303758208,prop_turnover,P1_P2,2276
0.7341406631975044,0.058744091372686914,0.6140859731537198,0.7334557927837576,0.8535494595305361,prop_turnover,P1_P2,2277
0.7207819757446818,0.05917547097782927,0.597767384218446,0.7211117288471312,0.8395081485048319,prop_turnover,P1_P2,2278
0.7078504576823643,0.05962612922799928,0.5847964282337766,0.7082169276755493,0.8225344575629592,prop_turnover,P1_P2,2279
0.6953524324711109,0.06010316001124207,0.5707337778114545,0.6950875721910073,0.8097877527338557,prop_turnover,P1_P2,2280
0.6832820166453408,0.0605954854266928,0.5582121838742617,0.6829474904724816,0.8006418669751969,prop_turnover,P1_P2,2281
0.671634920732278,0.06107085601583018,0.5483039088907521,0.6715732416209564,0.787711771188698,prop_turnover,P1_P2,2282
0.6604258392268092,0.06148713049765855,0.5387361685549337,0.6609041640445197,0.7830434792457286,prop_turnover,P1_P2,2283
0.6496962515423461,0.06181561333681581,0.5290964105735704,0.6503582140341977,0.7727721246975343,prop_turnover,P1_P2,2284
0.6395070189538,0.06205805422462727,0.5185936512029204,0.6403232524726559,0.7612629666578212,prop_turnover,P1_P2,2285
0.6322078626017116,0.062154992216164585,0.5114180666765574,0.633251231378708,0.7573811387638602,prop_turnover,P1_P2,2286
