species,threshold,d_AOO,infilling,expansion
Myophonus caeruleus,0.3,102.9832998821597,61.14222719882987,41.84107268332982
Pyrrhocorax pyrrhocorax,0.3,20.173663055259492,14.271949993745187,5.901713061514305
Ficedula zanthopygia,0.3,70.87074417710195,52.89848320271859,17.97226097438336
Pericrocotus cantonensis,0.3,24.698601843055553,16.652123030854863,8.04647881220069
Ixos mcclellandii,0.3,153.47609034893424,56.314068574730555,97.16202177420367
Tringa nebularia,0.3,228.76758318143996,144.14248235897125,84.62510082246871
Dicrurus hottentottus,0.3,-19.394002967856775,-11.659992445527987,-7.734010522328788
Gracupica nigricollis,0.3,96.34928710642247,39.971727266865884,56.37755983955658
Tringa totanus,0.3,192.32367880528133,134.5784557059762,57.74522309930513
Hierococcyx sparverioides,0.3,264.01625539457524,102.13928868986024,161.876966704715
Leiothrix lutea,0.3,-0.3656628532431871,1.0714805300238162,-1.437143383267003
Charadrius alexandrinus,0.3,213.4894823576977,117.07207085181332,96.41741150588439
Dendrocitta formosae,0.3,91.20051824510558,45.48854106564147,45.71197717946412
Aix galericulata,0.3,228.76692251578535,112.62328636704119,116.14363614874415
Motacilla tschutschensis,0.3,155.60703740467673,119.66917639073243,35.9378610139443
Falco amurensis,0.3,314.1664122134296,104.45519212749024,209.71122008593937
Delichon dasypus,0.3,-81.09554475543136,-65.61323634856222,-15.482308406869139
Lonchura striata,0.3,45.14751983776852,24.745192111590807,20.402327726177717
Garrulax canorus,0.3,100.51193755987354,51.58453056858339,48.92740699129015
Amaurornis phoenicurus,0.3,79.73848984206892,45.39147502214417,34.34701481992474
Lanius tephronotus,0.3,31.446388443393662,19.581510500764068,11.864877942629596
Columba livia,0.3,-393.82646591474736,-393.82646591474736,0
Phylloscopus claudiae,0.3,126.89122195975273,50.759532858160924,76.1316891015918
Emberiza elegans,0.3,149.59640138272508,91.82040979734384,57.77599158538122
Gyps himalayensis,0.3,14.912942025832516,9.800453579299932,5.112488446532584
Recurvirostra avosetta,0.3,318.34388540122086,103.30436430602171,215.03952109519915
Culicicapa ceylonensis,0.3,169.39246125122736,82.67155014837255,86.72091110285483
Columba rupestris,0.3,102.30310612262151,61.21793160227144,41.085174520350066
Apus nipalensis,0.3,167.44605750067427,73.78129572574554,93.66476177492873
Accipiter nisus,0.3,162.48518983532287,113.70473792995085,48.78045190537201
Tringa ochropus,0.3,290.17607247877254,257.0615803344438,33.11449214432867
Phoenicurus ochruros,0.3,39.82562717103419,22.54759887793355,17.278028293100643
Turdus rubrocanus,0.3,-20.17286547396862,-12.355534431392034,-7.817331042576588
Carpodacus erythrinus,0.3,107.79945867715067,84.01477046409833,23.78468821305234
Psilopogon virens,0.3,156.1744356009192,54.98655888566129,101.1878767152579
Gallinago gallinago,0.3,186.91392478785102,134.83371653833592,52.08020824951509
Prinia flaviventris,0.3,74.21105400725698,31.352401781896482,42.858652225360494
Motacilla citreola,0.3,252.33673100110482,150.90775858324722,101.42897241785761
Accipiter soloensis,0.3,72.50489712654215,49.49027687768866,23.014620248853486
Accipiter trivirgatus,0.3,111.33952548817803,47.45548491294304,63.884040575234984
Cisticola juncidis,0.3,0.5574839213640261,2.0494977685188376,-1.4920138471548114
Dicrurus leucophaeus,0.3,113.84448817181166,58.73440993214814,55.11007823966353
Ardea intermedia,0.3,502.57196767224696,56.378127402035354,446.19384027021164
Lonchura punctulata,0.3,93.52050512565734,40.31024371230689,53.21026141335045
Orthotomus sutorius,0.3,63.53787883376877,26.901179198851676,36.63669963491709
Falco subbuteo,0.3,169.16357543723694,132.4186293566016,36.74494608063532
Pericrocotus ethologus,0.3,32.16913963803074,21.81489780138521,10.354241836645528
Muscicapa sibirica,0.3,41.30908571277572,34.610000723108485,6.699084989667238
Picumnus innominatus,0.3,79.56030978003234,44.60515679954857,34.955152980483774
Sternula albifrons,0.3,211.86185881902767,65.57409619177083,146.28776262725685
Butorides striata,0.3,80.00105876310344,52.11172678040228,27.889331982701158
Yungipicus canicapillus,0.3,165.6817029602937,62.206812443745896,103.47489051654782
Periparus ater,0.3,19.277729256196956,16.165384760382448,3.1123444958145092
Phylloscopus magnirostris,0.3,1.5955970192223612,2.41955161770075,-0.8239545984783886
Tarsiger cyanurus,0.3,90.68595688736744,68.45888353673236,22.22707335063508
Cuculus sparverioides,0.3,-38.82761506588375,-28.27250314030495,-10.555111925578798
Cyanoderma ruficeps,0.3,177.00780114157178,64.41020019734486,112.5976009442269
Eurystomus orientalis,0.3,64.08301868883936,42.1743533520371,21.908665336802255
Anas carolinensis,0.3,267.2042335958829,192.91624551174638,74.28798808413653
Acrocephalus bistrigiceps,0.3,270.2657801186474,107.2057157006364,163.06006441801102
Centropus sinensis,0.3,105.61532736932834,34.46912079362552,71.14620657570282
Buteo hemilasius,0.3,115.79210832558438,76.72642852904137,39.065679796543016
Pycnonotus aurigaster,0.3,91.51217162398886,34.06138242390244,57.45078920008643
Fringilla montifringilla,0.3,348.33674131132585,147.7543002117175,200.58244109960836
