period,grid_cell,CTI
P1,1684,9.053260975416292
P1,1685,9.465262541240676
P1,1686,9.38320150850369
P1,1687,9.149310077580635
P1,1688,9.281680257054163
P1,1689,9.305257295358796
P1,1692,9.334384836195035
P1,1693,8.822348720939543
P1,1694,8.571575599623179
P1,1695,8.552015625201632
P1,1696,8.654187646069552
P1,1697,8.709564395506717
P1,1698,8.71412391620769
P1,1699,8.733481981963939
P1,1700,8.795075756739735
P1,1701,8.985511239958646
P1,1702,9.228088749865979
P1,1703,9.41021717555918
P1,1704,9.435661215143504
P1,1705,8.734671355270159
P1,1706,8.7445369023351
P1,1707,8.900583930760588
P1,1708,9.167148283629466
P1,1710,9.275614107476489
P1,1711,8.850994280451562
P1,1712,8.924574747942058
P1,1731,10.25922162065005
P1,1732,9.784545394522508
P1,1733,10.111633549237032
P1,1734,10.152416410929842
P1,1738,10.105936002771834
P1,1739,10.091579412272486
P1,1743,9.988244814026784
P1,1748,9.839212728904373
P1,1749,9.806310939991022
P1,1753,9.662405990994438
P1,1755,9.582249878312044
P1,1756,9.539965466456175
P1,1757,9.496204223554805
P1,1758,9.451028206656982
P1,1759,9.404594694953818
P1,1760,9.357193110775443
P1,1761,9.30926643632505
P1,1762,9.26140399126882
P1,1764,9.168726654330154
P1,1765,9.125441247610365
P1,1766,9.08520534688848
P1,1767,9.048732655457513
P1,1769,8.989447334360934
P1,1770,8.967440218297694
P1,1772,8.939427501354086
P1,1773,8.933272293465857
P1,1774,8.932052604290133
P1,1775,8.93540779175975
P1,1776,8.942881510086353
P1,1777,8.953949013138054
P1,1778,8.968893228284559
P1,1779,9.007591987892555
P1,1782,9.030104319510633
P1,1783,9.022692876861468
P1,1803,10.29246715673723
P1,1804,10.27933086478729
P1,1805,10.26015494060104
P1,1806,10.240235655183666
P1,1807,10.219565711011825
P1,1809,10.175944236183716
P1,1815,10.026026738134815
P1,1816,9.998066342017834
P1,1819,9.908433150375417
P1,1820,9.87647606721745
P1,1821,9.843384562459471
P1,1823,9.773547154759031
P1,1824,9.736677297254712
P1,1825,9.698432647468096
P1,1826,9.658770969667108
P1,1828,9.575122387173149
P1,1829,9.531176791464953
P1,1830,9.4859347685143
P1,1831,9.43959694071051
P1,1832,9.39249408791707
