species,year_slope,year_l95,year_u95,year_sig,order_lat,family_lat,genus_lat,body_mass_g,body_length_mm,clutch_size,egg_volume_mm3,longevity_y,maturity_y,avonet_hwi,elev_range_m,avonet_range_size,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,niche_rel,diet_specialization,habitat_breadth_data,habitat_openness_avonet,migration_class,migration_score,status
Columba rupestris,0.44609729802331,0.05667871134501871,0.8172807705651116,TRUE,COLUMBIFORMES,Columbidae,Columba,242.5,320,2,15193.92,17.53587916666666,1.1797082450593732,48.6,4600,11847809.42,Rock,3,1,Herbivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.3178620613880907,4,1,1,Winner
Copsychus saularis,0.40711984908287807,0.02235155604107399,0.7639006495887459,TRUE,PASSERIFORMES,Muscicapidae,Copsychus,40,207,5,3551.3748,10.66554424603175,1.1024567702052277,19.1,2000,9009660.2,Woodland,1,1,Carnivore,Invertivore,Terrestrial,0.47275031685678076,0.5272496831432192,1.338493794953826,1.5,1,1,Winner
Corvus corax,0.2131800234248795,-0.16523924370872906,0.6488158371167247,FALSE,PASSERIFORMES,Corvidae,Corvus,1050,670,5,27760.32,69,2.9979466119096507,39.8,6000,52288449.5,Forest,3,2,Omnivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.303961911913169,1,2,2,Stable
Corvus corone,0.44133659611372306,0.11088902804859686,0.7760350219770722,TRUE,PASSERIFORMES,Corvidae,Corvus,505,489,4.5,24023.04,19.2,2.9979466119096507,36.9,3600,33343165.09,Human Modified,3,1,Carnivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.329641132723256,4,1,1,Winner
Corvus macrorhynchos,0.2887960099335319,-0.07502586996217152,0.6752528640211138,FALSE,PASSERIFORMES,Corvidae,Corvus,545,490,4,18571.803,19.28106091269842,1.4304465916621962,34.8,5000,13313192.58,Woodland,2,1,Omnivore,Omnivore,Generalist,0.1761723700887199,0.8238276299112801,1.3315077900587795,1.5,1,1,Stable
Cuculus canorus,0.673184659444166,0.18071862270554476,1.132718453201068,TRUE,CUCULIFORMES,Cuculidae,Cuculus,126.5,323.5,1,3254.93628969,12.9,0.999315537303217,43.9,3800,37338142.79,Forest,2,3,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3356668979020252,1,3,3,Winner
Cuculus micropterus,0.5809354118641852,0.16198133994596803,0.9830000930081728,TRUE,CUCULIFORMES,Cuculidae,Cuculus,123,323.5,1,2928.35470306392,14.360315873015873,1.2547013624067,45.1,2100,10050685.23,Forest,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3639501139913073,1,1,1,Winner
Cuculus sparverioides,0.136583351207806,-0.3562530094820034,0.6417912338162112,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.145922746095131,2,NA,2,Stable
Culicicapa ceylonensis,0.2797827548611949,-0.08958553018229029,0.6544522418483334,FALSE,PASSERIFORMES,Stenostiridae,Culicicapa,9,116,3,1233.8685,10.802319246031749,1.2540886813771803,18.9,3100,4653880.02,Woodland,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.3615084381342057,1.5,1,1,Stable
Cyanopica cyanus,0.38346984700473974,0.08199890048573598,0.7265761836591865,TRUE,PASSERIFORMES,Corvidae,Cyanopica,102.5,372,6.5,8396.64,14.105560912698412,1.1412365796421218,14.3,1600,4748269.37,Woodland,2,1,Omnivore,Omnivore,Generalist,0.1761723700887199,0.8238276299112801,1.3620780362641565,1.5,1,1,Winner
Delichon dasypus,0.1866320157231408,-0.3083156739106487,0.6956175319893383,FALSE,PASSERIFORMES,Hirundinidae,Delichon,12.5,115,3,1821.771,11.986192821067824,1.4250404682396458,54.8,3500,3760523.9,Rock,2,3,Carnivore,Invertivore,Aerial,0.47275031685678076,0.5272496831432192,1.30180336314056,4,3,3,Stable
Dendrocitta formosae,0.4523843649524328,0.10836668840556288,0.7762146325360059,TRUE,PASSERIFORMES,Corvidae,Dendrocitta,95,350.5,4,8396.64,15.85592662337662,1.1760663711526125,16,1750,3328585.52,Forest,2,1,Omnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.4361793280250421,1,1,1,Winner
Dendrocopos major,0.2831212165429123,-0.05177885990747271,0.7312155864472236,FALSE,PICIFORMES,Picidae,Dendrocopos,71,221.5,5,6072.57,12.7,0.999315537303217,29.3,2500,24413724.29,Woodland,1,1,Omnivore,Omnivore,Insessorial,0.1761723700887199,0.8238276299112801,1.3618523069716548,1.5,1,1,Stable
Dicrurus hottentottus,0.16588416791595165,-0.26785014772345106,0.5937991579746502,FALSE,PASSERIFORMES,Dicruridae,Dicrurus,85,310,3.5,9307.755,13.265770472582972,1.0857896282172446,24.5,1500,7425702.56,Forest,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.242717801866816,1,1,1,Stable
Dicrurus leucophaeus,0.33407032403724485,-0.03687539520598595,0.7354171112684301,FALSE,PASSERIFORMES,Dicruridae,Dicrurus,52,283,3.5,6895.2,12.227953012265507,1.0727669404517433,31.5,3000,6692531.66,Forest,1,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.0892064293178305,1,1,1,Stable
Dicrurus macrocercus,0.1471236720715675,-0.2547957494145307,0.6128041603311404,FALSE,PASSERIFORMES,Dicruridae,Dicrurus,52.5,267.5,3.5,5304,11.98421607142858,1.0823982513607744,27.8,2600,9351037.98,Shrubland,2,1,Carnivore,Invertivore,Insessorial,0.47275031685678076,0.5272496831432192,1.273564341366988,2,1,1,Stable
Egretta garzetta,0.5352071714964249,0.16587598198011763,0.8191378983791452,TRUE,PELECANIFORMES,Ardeidae,Egretta,445,582,4.5,39951.36,22.3,0.999315537303217,33.1,2270,34141787.35,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.2560059251494657,3,2,2,Winner
Elanus caeruleus,0.4984917559378064,0.10559855915857178,0.8902067712642504,TRUE,ACCIPITRIFORMES,Accipitridae,Elanus,230,325,4,19114.29,6,0.9938398357289528,45.2,3000,26685941.8,Grassland,3,2,Carnivore,Vertivore,Aerial,0.05449936628643853,0.9455006337135614,1.3830114711635948,2.5,2,2,Winner
Emberiza cioides,0.4039442030110099,0.05411044222664555,0.7981165153275881,TRUE,PASSERIFORMES,Emberizidae,Emberiza,24,161,4.5,2603.62038,11.432960912698416,0.9838687515617676,22.1,1700,10532097.13,Grassland,3,2,Herbivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.3644711963065579,2.5,2,2,Winner
Emberiza elegans,0.3414361410846517,-0.09840274760888332,0.7576703971194927,FALSE,PASSERIFORMES,Emberizidae,Emberiza,18.5,145,6,2611.2,10.777111652236655,0.9940771786013044,17.7,1000,3012325.14,Woodland,3,2,Omnivore,Omnivore,Terrestrial,0.1761723700887199,0.8238276299112801,1.352594698812806,1.5,2,2,Stable
