species,trend_class,trend_slope,bio4,bio7,bio11,bio13,elev_mean,hfi_mean,landcover_built,landcover_cropland
Passer cinnamomeus,expanding,0.03357887051706167,129.63740962050682,9.155124449426605,8.52745386821807,4.245820061332375,163.33966592186536,1.550334314500829,0.0038074225865623213,0.009310531524302891
Vanellus cinereus,expanding,0.07735462315445146,328.6003932652821,32.9485048641125,24.896503615200473,13.225328528310389,771.3352753757955,4.595872890845972,0.01143156528755104,0.05855719279123716
Pycnonotus xanthorrhous,expanding,0.03048576316608093,14.955212630658801,1.5783554701713896,0.684199956967702,0.6320073391912127,25.292280034830757,0.18329992452763946,3.0200752437214035e-4,0.001296811441980975
Emberiza spodocephala,stable,0.01723029082211342,259.1731017382355,31.028613864784003,15.80136180337221,11.707518562173341,653.5757982335069,4.050674496300342,0.010254811511953836,0.05590265794074826
Ixobrychus sinensis,expanding,0.03449280535132141,309.977458076458,29.20142885105686,21.788021250787544,11.949676755827761,694.9171270608963,4.084073601552319,0.010221928595373575,0.05114999076514205
Oriolus chinensis,expanding,0.015653123117140635,213.9627135603491,24.990798691415524,11.642022869682027,9.541532359867157,542.4210211131658,3.335601960504241,0.008394012261056436,0.046521822999023424
Emberiza pusilla,stable,0.016508643484511417,231.79973259004316,27.810423510596774,14.48162003081088,10.727962196694394,661.9713357903529,3.260115127975132,0.0076376029907284865,0.03936571999058616
Chroicocephalus ridibundus,expanding,0.06061749289086341,378.6081924256353,42.59860499612688,26.951702906775175,16.882170927267865,1084.0952788694826,5.249665721767991,0.012272998315753497,0.06327139777769224
Pycnonotus jocosus,expanding,0.016879675407843842,29.47407595241999,1.1497137103506976,3.1303163096761963,0.6893615733910393,17.537238000705695,0.22392567299696592,4.157512871162996e-4,0.0012687362268589588
Streptopelia decaocto,expanding,0.034918589366328294,506.7755461831081,51.4975797272494,36.85487229293344,20.937364631918093,1256.4259906529578,6.862382027046691,0.016498183648329594,0.0739315918531546
Pomatorhinus ruficollis,expanding,0.019182688049801132,3.310317068543274,0.29757195575959033,0.1794159802659735,0.13399356430602938,7.038163754036612,0.0361824155711746,1.1396904938018975e-4,2.622760498527936e-4
Bambusicola thoracicus,expanding,0.020215046440685686,17.061719135193915,2.18030223628647,0.810541601802969,0.7996052882120411,33.46380148694368,0.24782563671036478,5.014012438885505e-4,0.002195575797241149
Pardaliparus venustulus,stable,-0.003720027341801887,244.55829044303024,23.25545219527681,13.81055317816406,9.539014428391617,449.0344943957704,3.1516193319359176,0.007386244610938022,0.029778506842125425
Ficedula albicilla,stable,0.0057475027397325,279.4510673940564,30.82225859048016,19.872882668360837,12.079424508283143,702.897841985648,3.9597918916905197,0.009643183389178604,0.05094769247687507
