species,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Primary.Lifestyle,migration_score
Butastur indicus,0,5,Woodland,2,3,Carnivore,Insessorial,3
Platalea leucorodia,0.6,8,Wetland,3,2,Carnivore,Terrestrial,2
Emberiza tristrami,0.49999999999999983,2,Forest,1,3,Omnivore,Terrestrial,3
Spatula querquedula,0.6,8,Wetland,3,3,Omnivore,Aquatic,3
Alcippe hueti,0.6,5,NA,NA,NA,NA,NA,2
Garrulax perspicillatus,0.6999999999999997,5,Shrubland,2,1,Carnivore,Terrestrial,1
Cinclus pallasii,1,8,Riverine,3,1,Carnivore,Generalist,1
Calidris ferruginea,0.6000000000000001,8,Coastal,3,3,Carnivore,Terrestrial,3
Tadorna tadorna,0.5999999999999996,8,Coastal,3,2,Carnivore,Generalist,2
Chlidonias leucopterus,0.6999999999999997,8,Wetland,3,3,Carnivore,Aerial,3
Anthus roseatus,1,8,Grassland,3,1,Carnivore,Terrestrial,1
Phoenicurus frontalis,1,2,Forest,1,2,Carnivore,Insessorial,2
Mareca strepera,0.6,8,Wetland,3,2,Herbivore,Aquatic,2
Periparus rubidiventris,0.6,2,Forest,1,1,Carnivore,Insessorial,1
Eremophila alpestris,0,8,Grassland,3,3,Omnivore,Terrestrial,3
Aythya nyroca,0.45000000000000007,8,Wetland,3,3,Herbivore,Aquatic,3
Calidris acuminata,0.6000000000000001,8,Wetland,3,3,Carnivore,Terrestrial,3
Ceryle rudis,0.6000000000000001,8,Wetland,3,1,Carnivore,Insessorial,1
