variable,importance,draw,group
delta_natural,0.01363492647920891,325,landuse_change
delta_hfi,0.016104789325250436,325,human_change
bio11,0.045980035958798376,325,baseline
elev_mean,0.0348358774479141,325,baseline
centroid_lon,0.13198056706760025,325,baseline
centroid_lat,0.03181015004908304,325,baseline
delta_t_mean,0.012869252233372513,52,climate_change
delta_t_extreme,0.024566097912339005,52,climate_change
delta_forest,0.008982763889787738,52,landuse_change
delta_impervious,0.024575522583026903,52,landuse_change
delta_natural,0.010568206834381755,52,landuse_change
delta_hfi,0.010625687069700128,52,human_change
bio11,0.033374213369586916,52,baseline
elev_mean,0.029512102541140738,52,baseline
centroid_lon,0.09726529912814383,52,baseline
centroid_lat,0.02175140172713723,52,baseline
delta_t_mean,0.015714022265292057,186,climate_change
delta_t_extreme,0.035423228669517144,186,climate_change
delta_forest,0.01069713245971605,186,landuse_change
delta_impervious,0.02972964940702981,186,landuse_change
delta_natural,0.010765824945152725,186,landuse_change
delta_hfi,0.01452469468961912,186,human_change
bio11,0.0374820353323412,186,baseline
elev_mean,0.048977831628768634,186,baseline
centroid_lon,0.1142869737572303,186,baseline
centroid_lat,0.03274029538338964,186,baseline
delta_t_mean,0.01295339653061615,144,climate_change
delta_t_extreme,0.024001205123435197,144,climate_change
delta_forest,0.009373620247103295,144,landuse_change
delta_impervious,0.022253382955621324,144,landuse_change
delta_natural,0.010251043721796783,144,landuse_change
delta_hfi,0.01182474202462875,144,human_change
bio11,0.02741382015697965,144,baseline
elev_mean,0.022970356493620562,144,baseline
centroid_lon,0.08775419947268813,144,baseline
centroid_lat,0.017404440445100398,144,baseline
delta_t_mean,0.014951502305060952,49,climate_change
delta_t_extreme,0.029063420242640744,49,climate_change
delta_forest,0.011058907956107571,49,landuse_change
delta_impervious,0.03304036473800225,49,landuse_change
delta_natural,0.010852617607877197,49,landuse_change
delta_hfi,0.014415526797091821,49,human_change
bio11,0.02749356355136625,49,baseline
elev_mean,0.047284747257359705,49,baseline
centroid_lon,0.11923129039201305,49,baseline
centroid_lat,0.024630314861252677,49,baseline
delta_t_mean,0.01939358650722955,50,climate_change
delta_t_extreme,0.038251498636821,50,climate_change
delta_forest,0.013134982918091101,50,landuse_change
delta_impervious,0.03345825872234935,50,landuse_change
delta_natural,0.015105286260700426,50,landuse_change
delta_hfi,0.014897322125886948,50,human_change
bio11,0.0314288662854753,50,baseline
elev_mean,0.038997067541601586,50,baseline
centroid_lon,0.14923453387049845,50,baseline
centroid_lat,0.027157421494710215,50,baseline
delta_t_mean,0.012230942483908812,114,climate_change
delta_t_extreme,0.022213491084420348,114,climate_change
delta_forest,0.00841256108604245,114,landuse_change
delta_impervious,0.017642057359024473,114,landuse_change
delta_natural,0.007492126904122743,114,landuse_change
delta_hfi,0.008081702827279267,114,human_change
bio11,0.02603872364636839,114,baseline
elev_mean,0.01694554595500538,114,baseline
centroid_lon,0.1049865410100939,114,baseline
centroid_lat,0.019479435577465416,114,baseline
delta_t_mean,0.012067741363987104,185,climate_change
delta_t_extreme,0.027059934297302603,185,climate_change
delta_forest,0.007480677218008864,185,landuse_change
delta_impervious,0.02424803361088656,185,landuse_change
delta_natural,0.010716111496468343,185,landuse_change
delta_hfi,0.009625219125388124,185,human_change
bio11,0.03857966085492838,185,baseline
elev_mean,0.03142407476165362,185,baseline
centroid_lon,0.10065879666293948,185,baseline
centroid_lat,0.025510829130383255,185,baseline
delta_t_mean,0.014001911123428776,107,climate_change
delta_t_extreme,0.026238434313423393,107,climate_change
delta_forest,0.011320331170167935,107,landuse_change
delta_impervious,0.028705969685963388,107,landuse_change
delta_natural,0.010601341637031013,107,landuse_change
delta_hfi,0.01139975075290902,107,human_change
bio11,0.028498841464476864,107,baseline
elev_mean,0.018850634753261878,107,baseline
centroid_lon,0.1036021315290755,107,baseline
centroid_lat,0.025331786115551463,107,baseline
delta_t_mean,0.016426823022789538,302,climate_change
delta_t_extreme,0.03412082191181051,302,climate_change
delta_forest,0.009186879228252249,302,landuse_change
delta_impervious,0.021061995948730355,302,landuse_change
delta_natural,0.009562443266897282,302,landuse_change
delta_hfi,0.009911661387007586,302,human_change
bio11,0.03609247406423351,302,baseline
elev_mean,0.020102471925124633,302,baseline
centroid_lon,0.13716717669036949,302,baseline
centroid_lat,0.02274931113658088,302,baseline
delta_t_mean,0.014459167817493459,24,climate_change
delta_t_extreme,0.03011829977760249,24,climate_change
delta_forest,0.011822185683042637,24,landuse_change
delta_impervious,0.030539511284683022,24,landuse_change
delta_natural,0.010706429882854427,24,landuse_change
delta_hfi,0.01367789661121384,24,human_change
bio11,0.040766680023955205,24,baseline
elev_mean,0.02569835952080471,24,baseline
centroid_lon,0.14177017547818258,24,baseline
centroid_lat,0.02816751568578119,24,baseline
delta_t_mean,0.015100270883382876,276,climate_change
delta_t_extreme,0.03740698853824486,276,climate_change
delta_forest,0.01214164676988963,276,landuse_change
delta_impervious,0.02752893968652927,276,landuse_change
delta_natural,0.013472964977192777,276,landuse_change
delta_hfi,0.012275437812916287,276,human_change
bio11,0.022305134611982844,276,baseline
elev_mean,0.028955276765524143,276,baseline
centroid_lon,0.18167277622183692,276,baseline
centroid_lat,0.024041999485855038,276,baseline
delta_t_mean,0.01997482588949287,267,climate_change
delta_t_extreme,0.0467202520300823,267,climate_change
delta_forest,0.015113436759732082,267,landuse_change
delta_impervious,0.03646034003545874,267,landuse_change
delta_natural,0.01719009122143504,267,landuse_change
delta_hfi,0.01655233857411539,267,human_change
bio11,0.0389600935084041,267,baseline
elev_mean,0.05500279620869436,267,baseline
centroid_lon,0.14925552567825776,267,baseline
centroid_lat,0.04006654178810753,267,baseline
delta_t_mean,0.011404161386738053,307,climate_change
delta_t_extreme,0.03067271646241354,307,climate_change
delta_forest,0.008227395918883478,307,landuse_change
delta_impervious,0.01828667066572281,307,landuse_change
delta_natural,0.009394598432044373,307,landuse_change
delta_hfi,0.008857848954663157,307,human_change
bio11,0.03754152053335237,307,baseline
elev_mean,0.023654344252236007,307,baseline
centroid_lon,0.0934519356069358,307,baseline
centroid_lat,0.026237918169020276,307,baseline
delta_t_mean,0.011586710140735802,394,climate_change
delta_t_extreme,0.026540986431080056,394,climate_change
delta_forest,0.007947350655096453,394,landuse_change
delta_impervious,0.01773041500702142,394,landuse_change
delta_natural,0.010046203350672894,394,landuse_change
delta_hfi,0.007386942674407505,394,human_change
bio11,0.035702627962900635,394,baseline
elev_mean,0.01926119199408799,394,baseline
centroid_lon,0.10018864417405138,394,baseline
centroid_lat,0.0243671459401316,394,baseline
delta_t_mean,0.01399484745364522,396,climate_change
delta_t_extreme,0.02492199246441848,396,climate_change
delta_forest,0.009406613982588805,396,landuse_change
delta_impervious,0.0240322172502483,396,landuse_change
delta_natural,0.01056183563983684,396,landuse_change
delta_hfi,0.011088607504470318,396,human_change
bio11,0.03601255885772649,396,baseline
elev_mean,0.02547268647813536,396,baseline
centroid_lon,0.08610926233208162,396,baseline
centroid_lat,0.019612702533292083,396,baseline
delta_t_mean,0.017567767340474928,214,climate_change
delta_t_extreme,0.038056313842298135,214,climate_change
delta_forest,0.011667683698135258,214,landuse_change
delta_impervious,0.026387345884633446,214,landuse_change
delta_natural,0.012237186571140736,214,landuse_change
delta_hfi,0.013242670321650244,214,human_change
bio11,0.026911500776077284,214,baseline
elev_mean,0.03438939548362069,214,baseline
centroid_lon,0.11595114348623034,214,baseline
