species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Circus melanoleucos,theil_sen,0.0612059405222904,0.016056931079280943,0.030122692311144873,0.05203218219390958,0.060855875495058984,0.0707985868536789,0.09082144066235853,1,0,expanding,strong_expanding,6,0.6,0.2206713619198468
Calidris alba,theil_sen,0.016778021155271262,0.005800598575891764,0.004103554169058378,0.013797935788977506,0.01715819794224358,0.020962446544854747,0.026252503722798377,0.9925,0.0075,expanding,strong_expanding,8,0.8,0.08641073297370003
Ixobrychus cinnamomeus,theil_sen,0.02020473938642039,0.011110242369521323,-0.0012085057676070588,0.013365271880631982,0.02029158979709414,0.027458471416659004,0.04179015327566269,0.9625,0.0375,expanding,expanding,10,1,0.02748633611151034
Lophura nycthemera,theil_sen,0.0061588175447372575,0.005502015217818861,-0.005280570773104347,0.0027053048370258553,0.006685862691403901,0.010061634327151667,0.015878653361331232,0.8575,0.1425,stable,stable,6,0.6,0.2206713619198468
Accipiter gularis,theil_sen,0.019583407090164935,0.014773059839765564,-0.008095387800356084,0.010107139687742286,0.020079329935013747,0.02896297666316697,0.048389669568558176,0.895,0.105,stable,stable,4,0.4,0.4624327264504763
Pica pica,theil_sen,0.03806541626601503,0.009476055269659623,0.02082740145396152,0.03163820628607061,0.03828606851390591,0.04498056108362402,0.053523264391865825,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Staphida torqueola,theil_sen,0.01622738433077796,0.009948165099156116,-0.004653151086415103,0.010249895979529609,0.017164832966926648,0.02298078620425982,0.03489748726495379,0.9425,0.0575,stable,stable,6,0.6,0.2206713619198468
Mycerobas carnipes,theil_sen,-0.006095949546180741,0.007163474268294121,-0.020538601923560884,-0.010980887260675129,-0.005717213665508443,-9.050514939402092e-4,0.006961742822256362,0.2025,0.7975,stable,stable,-6,-0.6,0.2206713619198468
Prunella fulvescens,theil_sen,0.004056715501810869,0.003637597264266925,-0.004184835753675404,0.0018346938835909574,0.004319766568183128,0.006544927308546554,0.010228713492316372,0.87,0.13,stable,stable,10,1,0.02748633611151034
Phylloscopus ricketti,theil_sen,0.0175405636142031,0.013930028266326064,-0.014744091413481925,0.008613135603665573,0.019286976528276985,0.027457425225472176,0.04129394803916059,0.8925,0.1075,stable,stable,6,0.6,0.2206713619198468
Emberiza fucata,theil_sen,0.009707059141926011,0.016086246898072764,-0.01893911184284976,-0.0012530477365669465,0.00854283143213725,0.020428976379075932,0.043212288621906014,0.6975,0.3025,stable,stable,6,0.6,0.2206713619198468
Chrysolophus pictus,theil_sen,0.013833371953479319,0.00589812429330568,0.0023699278310303578,0.010010216631921795,0.01409540489008354,0.017868110976648727,0.02467519944208665,0.985,0.015,expanding,expanding,8,0.8,0.08641073297370003
Psilopogon faber,theil_sen,0.017273899867449916,0.004194056081133255,0.008070176398263657,0.014638963980739257,0.017727397550406664,0.020112700925926118,0.024665372754184376,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Pterorhinus pectoralis,theil_sen,0.012758186557763842,0.013926322247188067,-0.018962820407568103,0.004627089772849679,0.013998863336522654,0.02310748218773067,0.034986276775487234,0.82,0.18,stable,stable,10,1,0.02748633611151034
Lioparus chrysotis,theil_sen,-0.008968161608211506,0.008193853749830974,-0.02686392550321542,-0.014045820241327597,-0.008628612698161332,-0.0032723751526162062,0.005454900708984347,0.14,0.86,stable,stable,-6,-0.6,0.2206713619198468
Luscinia cyane,theil_sen,-0.006876127632668531,0.014900802229897548,-0.038634835579400756,-0.01625434292613765,-0.00513487553855112,0.0026777052591833387,0.0180620642456445,0.3325,0.6675,stable,stable,-4,-0.4,0.4624327264504763
Turdus merula,theil_sen,0.026048177351980874,0.0055385819111339486,0.014915616527538433,0.022658021271167644,0.026004464134599423,0.029476362255406573,0.037122797111664045,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Sinosuthora alphonsiana,theil_sen,-0.0012757680719970846,0.006026624494974072,-0.014912709116396172,-0.0045262981269616216,-7.547749562011024e-4,0.003064143887820941,0.009313127564250536,0.455,0.545,stable,stable,-2,-0.2,0.8064959405073402
