grid_cell,naive_trend,corrected_trend,trend_diff,direction_flipped
738,42.099999999999994,5.17778426856484,-36.92221573143515,FALSE
772,-2.499999999999999,5.556322192996836,8.056322192996834,TRUE
773,6.599999999999999,5.798335465871226,-0.8016645341287729,FALSE
774,6.199999999999999,6.433784703303762,0.23378470330376278,FALSE
775,0.7999999999999998,6.0905832772494515,5.290583277249452,FALSE
776,5.6,6.326305150750286,0.726305150750286,FALSE
777,22.699999999999996,6.897074139560146,-15.80292586043985,FALSE
778,3.9,6.20258026780672,2.30258026780672,FALSE
783,5.199999999999999,5.2556681794224875,0.05566817942248825,FALSE
784,6.599999999999999,5.393071250072898,-1.2069287499271004,FALSE
787,0.7999999999999998,5.23061084591779,4.43061084591779,FALSE
788,1.6999999999999995,5.395663845921806,3.695663845921807,FALSE
804,28.79999999999999,4.134069284413098,-24.665930715586892,FALSE
805,27.399999999999995,4.7792450073913155,-22.62075499260868,FALSE
806,10.199999999999996,5.24025081492428,-4.959749185075716,FALSE
807,20.799999999999997,4.3489919804343495,-16.45100801956565,FALSE
808,24.69999999999999,4.743831802699094,-19.956168197300894,FALSE
809,37.4,5.093617343636133,-32.306382656363866,FALSE
810,22.09999999999999,5.240130001904311,-16.85986999809568,FALSE
811,17.099999999999998,5.366068064631691,-11.733931935368307,FALSE
812,10,5.69280971272908,-4.30719028727092,FALSE
813,6.999999999999999,5.517262969759753,-1.482737030240246,FALSE
845,14.099999999999998,7.9152408958843505,-6.184759104115647,FALSE
846,-1.4999999999999998,6.823126365396463,8.323126365396462,TRUE
847,5.4,7.4135139166881325,2.013513916688132,FALSE
848,-0.8999999999999995,7.686316833348011,8.586316833348011,TRUE
849,21.199999999999996,7.571719118176017,-13.62828088182398,FALSE
850,32.199999999999996,7.23036517732802,-24.969634822671978,FALSE
851,1.5999999999999996,5.446389276807329,3.8463892768073293,FALSE
855,15.399999999999997,4.100632196334901,-11.299367803665096,FALSE
856,7.6,4.01592636200963,-3.58407363799037,FALSE
857,11.6,4.414914195979697,-7.185085804020303,FALSE
858,11.599999999999996,5.5083011425968165,-6.09169885740318,FALSE
859,-1.3604436445107212e-16,5.075857898881309,5.075857898881309,TRUE
860,9.8,5.011411132282782,-4.788588867717219,FALSE
876,32,4.478530572289429,-27.52146942771057,FALSE
877,28.099999999999994,4.873994616418427,-23.226005383581565,FALSE
878,5.4,4.970015149677771,-0.42998485032222966,FALSE
879,28.599999999999994,5.064852243786797,-23.5351477562132,FALSE
881,6.999999999999999,5.301615450415538,-1.6983845495844614,FALSE
882,5.999999999999999,5.532602242720536,-0.4673977572794632,FALSE
883,11.2,5.453523530646732,-5.746476469353268,FALSE
884,12.499999999999998,5.720545055028977,-6.779454944971021,FALSE
885,19.2,5.567860755176665,-13.632139244823335,FALSE
916,12.799999999999997,6.8755830137029115,-5.924416986297086,FALSE
917,7.399999999999999,6.8403981262547635,-0.5596018737452351,FALSE
918,2.8,6.406427604537274,3.6064276045372745,FALSE
920,10.199999999999998,6.16235149593648,-4.037648504063518,FALSE
921,13.399999999999999,5.510429205518241,-7.889570794481758,FALSE
922,12.999999999999996,5.295188609489142,-7.704811390510854,FALSE
923,23.499999999999993,5.471767718405827,-18.028232281594164,FALSE
927,6,4.7890678614529705,-1.2109321385470295,FALSE
929,0.9999999999999999,4.648831943309209,3.648831943309209,FALSE
931,16.199999999999996,4.727879677983506,-11.47212032201649,FALSE
947,4.599999999999999,4.721962793588169,0.12196279358817019,FALSE
948,14.499999999999998,4.799443815558994,-9.700556184441005,FALSE
949,10.699999999999998,4.676022407569821,-6.023977592430176,FALSE
950,31.4,5.110543750060727,-26.28945624993927,FALSE
951,22.699999999999996,5.282074744417268,-17.417925255582727,FALSE
952,1.9999999999999991,5.521529757431555,3.521529757431556,FALSE
953,0.5999999999999998,5.6784092544576135,5.078409254457614,FALSE
955,-0.2000000000000002,5.893402457372476,6.093402457372476,TRUE
956,5.800000000000001,5.982274690057988,0.18227469005798724,FALSE
985,0.7999999999999995,6.723645085457508,5.923645085457508,FALSE
986,7.199999999999999,6.705990026063341,-0.4940099739366586,FALSE
987,2.5999999999999996,6.690961389926751,4.090961389926751,FALSE
988,6.999999999999999,6.560175269505853,-0.43982473049414583,FALSE
989,9.6,6.493781978986467,-3.1062180210135324,FALSE
991,8.6,6.029816173072659,-2.570183826927341,FALSE
992,15.499999999999996,6.1257482750202685,-9.374251724979729,FALSE
993,10.200000000000001,6.015506878955243,-4.184493121044758,FALSE
994,6.199999999999999,5.753764359447271,-0.4462356405527279,FALSE
995,5.4,5.879867937180128,0.47986793718012777,FALSE
996,37.300000000000004,5.916994011065151,-31.383005988934855,FALSE
997,27.59999999999999,5.734368907373182,-21.86563109262681,FALSE
999,3.5999999999999983,5.785604931841068,2.1856049318410693,FALSE
1001,16.299999999999994,5.182081362618638,-11.117918637381354,FALSE
1002,1.1999999999999995,4.736701489419756,3.536701489419757,FALSE
1003,0.5999999999999998,4.678217014735364,4.0782170147353645,FALSE
1018,9.6,4.305650460951446,-5.294349539048554,FALSE
1019,15.299999999999995,4.359710819140458,-10.940289180859537,FALSE
1021,11.600000000000001,4.7213818554552285,-6.878618144544773,FALSE
1022,21.599999999999998,5.067103197247774,-16.532896802752223,FALSE
1023,5.1999999999999975,5.355003973861368,0.15500397386137088,FALSE
1025,2.4999999999999996,5.456244655659461,2.9562446556594613,FALSE
1027,9.9,5.649873313229092,-4.250126686770908,FALSE
1028,2.9000000000000004,5.809717524974396,2.909717524974396,FALSE
1029,6.999999999999999,6.165668995286257,-0.834331004713742,FALSE
1055,5.199999999999999,6.658103172057235,1.4581031720572355,FALSE
1057,6.199999999999999,7.082231625374141,0.8822316253741418,FALSE
1058,4.199999999999998,8.12528748818212,3.9252874881821223,FALSE
1061,2.5999999999999996,5.737349564603471,3.137349564603471,FALSE
1063,10.000000000000002,5.382514318810921,-4.6174856811890805,FALSE
1064,6.500000000000001,5.480625980717171,-1.0193740192828296,FALSE
1065,7.3999999999999995,5.148125843281751,-2.251874156718248,FALSE
1066,20.59999999999999,5.055654827771893,-15.544345172228098,FALSE
1068,8.999999999999996,5.620663248851962,-3.379336751148035,FALSE
1069,10.899999999999997,5.353260745600826,-5.546739254399171,FALSE
1070,12.499999999999998,5.224021984289997,-7.275978015710002,FALSE
1073,7.4,4.998785031424206,-2.401214968575794,FALSE
1075,9.999999999999998,4.8307633330349855,-5.169236666965013,FALSE
1076,2.4999999999999987,4.76866951503668,2.2686695150366814,FALSE
1089,1.1999999999999995,4.664270993100427,3.4642709931004276,FALSE
1090,24.4,4.803940208186112,-19.596059791813886,FALSE
1091,3.2999999999999994,5.095393765268808,1.7953937652688086,FALSE
1092,13.5,5.343116351016298,-8.156883648983701,FALSE
