period,species,mean_psi_inside,mean_psi_outside,psi_diff,habitat_breadth,sp_group
P2,Ardea alba,0.587986830029886,0.7014841823639223,-0.11349735233403624,8,generalist
P2,Himantopus himantopus,0.39762888070459,0.459617646490806,-0.06198876578621598,8,generalist
P2,Urocissa erythroryncha,0.08312467788690721,0.2751266004910526,-0.1920019226041454,2,specialist
P2,Aegithalos concinnus,0.12688345633712964,0.32638993597000815,-0.19950647963287851,2,specialist
P2,Lanius cristatus,0.4315940893049877,0.6754243273796617,-0.24383023807467402,8,generalist
P2,Fulica atra,0.3920960293666657,0.4252302404869673,-0.03313421112030157,8,generalist
P2,Horornis fortipes,0.10773786386273831,0.3131784982369351,-0.2054406343741968,2,specialist
P2,Eophona migratoria,0.1526303060482087,0.3850617909865973,-0.2324314849383886,5,specialist
P2,Podiceps cristatus,0.5810215030256574,0.5545338217802597,0.026487681245397687,8,generalist
P2,Picus canus,0.6248928718379126,0.6660078987412295,-0.04111502690331681,2,specialist
P2,Phylloscopus inornatus,0.20233114761382795,0.5446686599856514,-0.3423375123718234,2,specialist
P2,Pterorhinus sannio,0.06453712195407109,0.15626275142537238,-0.09172562947130129,5,specialist
P2,Motacilla cinerea,0.7368831110095542,0.8253587463884287,-0.08847563537887448,8,generalist
P2,Sterna hirundo,0.6287905999631402,0.5019938411678947,0.12679675879524555,8,generalist
P2,Falco tinnunculus,0.8832412431090951,0.7954150368979004,0.08782620621119475,8,generalist
P2,Hypsipetes leucocephalus,0.1045254032322898,0.286913855641288,-0.1823884524089982,2,specialist
P2,Apus apus,0.6901854550765585,0.5644215414889249,0.1257639135876336,2,specialist
P2,Cuculus micropterus,0.18138044312044851,0.5256817678300142,-0.34430132470956565,2,specialist
P2,Phalacrocorax carbo,0.6074940022654299,0.6470797506422106,-0.03958574837678064,8,generalist
P2,Phoenicurus fuliginosus,0.26010245511920943,0.35975165727863667,-0.09964920215942724,8,generalist
P2,Prinia inornata,0.03215578218979857,0.2534622642078602,-0.22130648201806166,5,specialist
P2,Milvus migrans,0.7452359630759757,0.6315343829798223,0.11370158009615339,8,generalist
P2,Bubulcus coromandus,0.3561040870535369,0.5190414222939931,-0.16293733524045617,5,specialist
P2,Phylloscopus proregulus,0.271768665484754,0.5923728748402809,-0.3206042093555269,2,specialist
P2,Acrocephalus orientalis,0.23474085160322322,0.39405154011866883,-0.1593106885154456,8,generalist
P2,Aegithalos glaucogularis,0.1892793817015559,0.271473763005208,-0.08219438130365209,5,specialist
P2,Eudynamys scolopaceus,0.11366591964147939,0.37532604111363327,-0.2616601214721539,5,specialist
P2,Anthus hodgsoni,0.4691495209162415,0.6300654251425276,-0.1609159042262861,8,generalist
P2,Pterorhinus perspicillatus,0.013677574818591024,0.12328798914902578,-0.10961041433043475,5,specialist
P2,Charadrius dubius,0.5308920108938501,0.6342194189862559,-0.10332740809240581,8,generalist
P2,Poecile palustris,0.13135107042517422,0.19785026816902015,-0.06649919774384594,2,specialist
P2,Actitis hypoleucos,0.6666371512672745,0.7442201551584552,-0.07758300389118067,8,generalist
P2,Tadorna ferruginea,0.7928377986978306,0.5534067671615027,0.23943103153632783,8,generalist
P2,Passer cinnamomeus,0.35343057615272533,0.42838993287615396,-0.07495935672342863,5,specialist
P2,Vanellus cinereus,0.17981945493950854,0.3796047347533243,-0.19978527981381575,8,generalist
P2,Pycnonotus xanthorrhous,0.12144374341270814,0.19945123478295038,-0.07800749137024224,5,specialist
P2,Emberiza spodocephala,0.30490860994135777,0.550050730272757,-0.2451421203313992,5,specialist
P2,Ixobrychus sinensis,0.14552138776578366,0.3839832630453849,-0.23846187527960122,2,specialist
P2,Oriolus chinensis,0.20458346663862761,0.5340448073827445,-0.3294613407441169,5,specialist
P2,Emberiza pusilla,0.34770375172506957,0.6151913962736456,-0.26748764454857604,5,specialist
P2,Chroicocephalus ridibundus,0.4713000946340489,0.5100945362168625,-0.03879444158281359,5,specialist
P2,Pycnonotus jocosus,0.0203828324773934,0.11718086506263602,-0.09679803258524261,5,specialist
P2,Streptopelia decaocto,0.5329633665960749,0.4423067716344929,0.09065659496158202,8,generalist
P2,Pomatorhinus ruficollis,0.11587598587804933,0.2803454795162767,-0.16446949363822738,5,specialist
P2,Bambusicola thoracicus,0.04320699831887303,0.1739501467749381,-0.13074314845606508,5,specialist
P2,Pardaliparus venustulus,0.2848277789362127,0.47192279581966745,-0.18709501688345476,5,specialist
P2,Ficedula albicilla,0.4503883749772751,0.6868124615994026,-0.2364240866221275,5,specialist
P2,Picoides canicapillus,0.07230851451622859,0.15032025891357434,-0.07801174439734575,2,specialist
P2,Hemixos castanonotus,0.012747384189994604,0.14918926533447321,-0.1364418811444786,2,specialist
P2,Tringa glareola,0.4092425137658112,0.503262735883617,-0.09402022211780581,8,generalist
P2,Abroscopus albogularis,0.06728151620832977,0.2342174728801272,-0.16693595667179745,2,specialist
P2,Saxicola stejnegeri,0.1779016778440156,0.4675883144280849,-0.28968663658406935,5,specialist
P2,Garrulus glandarius,0.2635425514771662,0.4327377668209101,-0.16919521534374388,2,specialist
P2,Chlidonias hybrida,0.2824174395587144,0.3887835896187203,-0.10636615006000588,8,generalist
P2,Corvus corone,0.7002227459065231,0.5852457610476952,0.1149769848588279,8,generalist
P2,Trochalopteron elliotii,0.3077871181560822,0.20875720234649348,0.0990299158095887,2,specialist
P2,Parus monticolus,0.21402878187084184,0.1828856631050327,0.031143118765809136,2,specialist
