species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative
Turdus hortulorum,theil_sen,0.02329177720113805,0.009673446440881495,0.004055337622755984,0.01622367666414181,0.023194145550445678,0.030271605965406057,0.04128139593696888,0.9925,0.0075
Phylloscopus plumbeitarsus,theil_sen,0.005951680155995417,0.012040429852332247,-0.01894357261387036,-3.0938289186282705e-4,0.005622600722774633,0.01209221137960513,0.035032852104244123,0.74,0.26
Parus major,theil_sen,0.024494725922887223,0.006395349097982696,0.011296138678563513,0.020561024748982085,0.025316998292005986,0.02887381808616426,0.03560640524486265,1,0
Horornis acanthizoides,theil_sen,-0.005968935297934682,0.0125387919058583,-0.0316953783811726,-0.013771407337415484,-0.005343648623872288,0.002107996343236785,0.016489260478229947,0.34,0.66
Fulvetta cinereiceps,theil_sen,-0.007985425095281209,0.00879257844533141,-0.028121716604275336,-0.01345798874854003,-0.007593187110799296,-0.0025112208431549354,0.007725992134676666,0.1725,0.8275
Phylloscopus affinis,theil_sen,-1.857100744783656e-4,0.00699502548637086,-0.014318018988353385,-0.0046663159636770365,-9.555258353411442e-5,0.004137599054318848,0.01475391344359193,0.4925,0.5075
Larvivora sibilans,theil_sen,0.019913103387510855,0.014667426894148634,-0.012813488274036241,0.011192177462849739,0.02034813501629843,0.030781713775863518,0.045458016678715525,0.905,0.095
Zosterops erythropleurus,theil_sen,0.025640622725746968,0.02078912179166398,-0.0155027664277622,0.013447025395274186,0.02731253360128377,0.03851254322559768,0.06688767997646612,0.875,0.125
Yuhina nigrimenta,theil_sen,0.010043784613176893,0.0071865643017046035,-0.005599987026574359,0.005862703987450588,0.010671873333923821,0.014925747423738615,0.022638338409766465,0.91,0.09
Oenanthe oenanthe,theil_sen,0.02663509984833841,0.009346102570507319,0.005745493348008337,0.02085807579237653,0.026741726421748935,0.03279239804057333,0.042693363470769095,0.9975,0.0025
Phylloscopus castaniceps,theil_sen,0.03454418045980723,0.014722056097996778,0.0032741151573310325,0.025477806001771373,0.03632639574534206,0.045124871688167215,0.058515897466252145,0.9775,0.0225
Larus relictus,theil_sen,0.024837946002268962,0.008310652103483338,0.007564297758034358,0.01938830835601256,0.025227908274249873,0.030845120655234284,0.03962492688242749,0.9975,0.0025
Phylloscopus tenellipes,theil_sen,0.022260222734751554,0.014958376119469744,-0.008271908573549706,0.013239309566059003,0.024082597219282617,0.03211739366745194,0.048804384925255025,0.915,0.085
Horornis flavolivaceus,theil_sen,-0.02054676807761162,0.013913443883867605,-0.05102626491314192,-0.027968436355994417,-0.019684288576575313,-0.01105733507323747,0.0018170186755516004,0.05,0.95
Hirundapus caudacutus,theil_sen,-0.01637293015481169,0.024153211773070695,-0.06434662035405707,-0.03154518295823197,-0.013232976747943059,2.4732566579829633e-4,0.028537413257637447,0.2575,0.7425
Anthus spinoletta,theil_sen,0.0236722427251252,0.01553072909444994,-0.004826341087276963,0.012758081612206307,0.023231641954148882,0.034320902947244096,0.05446524145593009,0.945,0.055
Blythipicus pyrrhotis,theil_sen,0.009374781666498837,0.006565557656914541,-0.003746885220712407,0.004988204735708801,0.00958231404912268,0.013500737114739274,0.022317176051475263,0.925,0.075
Clamator coromandus,theil_sen,0.013196480465617924,0.011830384503746318,-0.00987886516473337,0.0049933172309026,0.0131862377271092,0.021175296085739394,0.03573331201912411,0.8725,0.1275
Calidris falcinellus,theil_sen,0.02498450397312149,0.007367028687143686,0.010649701655824203,0.02043196020337202,0.025194484045096055,0.03028485273024159,0.037469199170177346,0.9975,0.0025
Larus ichthyaetus,theil_sen,0.03620052881670346,0.009118640051812375,0.017471312042581604,0.0305706000294215,0.03653875462856877,0.04241224291567136,0.05351419727762336,1,0
Phylloscopus subaffinis,theil_sen,-0.007853721196870155,0.014039971708338504,-0.038607213774884325,-0.01636374566663778,-0.006380026532197002,9.965577912465357e-4,0.016662304977517375,0.2775,0.7225
Grus nigricollis,theil_sen,0.0016011343566858206,0.004801832399099155,-0.007562668651567884,-0.0018611948860383825,0.0017389091781579765,0.00492635482893149,0.009759585111267777,0.6425,0.3575
Phylloscopus ogilviegranti,theil_sen,-0.031145611561354213,0.016628976550721136,-0.0674856040793604,-0.042485680107466985,-0.03030343569387704,-0.019671758023753826,-0.0025124921127977397,0.0175,0.9825
Horornis canturians,theil_sen,0.05477802550841485,0.023242681943986078,0.010717347639451475,0.038314772290471595,0.05480069748718247,0.07211464328821487,0.09689994159009056,0.99,0.01
Charadrius placidus,theil_sen,0.06181114680474629,0.01945153275778803,0.019505161437668082,0.04930793683176305,0.06431129948785518,0.07604615770928375,0.09405034828754402,0.995,0.005
Oenanthe pleschanka,theil_sen,0.004149112040804771,0.0074711973990537455,-0.011363916251717315,-1.492097328787169e-4,0.004293200915977593,0.009378055499825831,0.017817437107360123,0.7425,0.2575
Leucosticte nemoricola,theil_sen,0.0066131415220160765,0.005066497290961561,-0.003977533659600733,0.0035597972202313175,0.006582177543169382,0.010070520799501506,0.015787431043942056,0.9025,0.0975
Enicurus scouleri,theil_sen,0.0074960489415983,0.009847614666623088,-0.014175396000135879,0.0020037229829542643,0.007915206876105786,0.014277257906458249,0.02630093429826741,0.8025,0.1975
Galerida cristata,theil_sen,0.012907731952285369,0.00940721812015138,-0.006182594025674355,0.007271113257860288,0.012970174003620596,0.018980483579386326,0.031250437933612825,0.9225,0.0775
Paradoxornis gularis,theil_sen,0.008724312392717355,0.00929078330010207,-0.010295902752097581,0.0027312943974889285,0.008743374965719542,0.015322935236675553,0.024329281013236136,0.8275,0.1725
Circus melanoleucos,theil_sen,0.0612059405222904,0.016056931079280943,0.030122692311144873,0.05203218219390958,0.060855875495058984,0.0707985868536789,0.09082144066235853,1,0
Calidris alba,theil_sen,0.016778021155271262,0.005800598575891764,0.004103554169058378,0.013797935788977506,0.01715819794224358,0.020962446544854747,0.026252503722798377,0.9925,0.0075
Ixobrychus cinnamomeus,theil_sen,0.02020473938642039,0.011110242369521323,-0.0012085057676070588,0.013365271880631982,0.02029158979709414,0.027458471416659004,0.04179015327566269,0.9625,0.0375
Lophura nycthemera,theil_sen,0.0061588175447372575,0.005502015217818861,-0.005280570773104347,0.0027053048370258553,0.006685862691403901,0.010061634327151667,0.015878653361331232,0.8575,0.1425
Accipiter gularis,theil_sen,0.019583407090164935,0.014773059839765564,-0.008095387800356084,0.010107139687742286,0.020079329935013747,0.02896297666316697,0.048389669568558176,0.895,0.105
