species,protected_fraction,meets_30pct,habitat_breadth,trend_slope
Eumyias thalassinus,0.05807502743319053,FALSE,2,0.02078097918129328
Sitta villosa,0.06669764191760302,FALSE,2,-0.01298015592831257
Alauda gulgula,0.07740366212975613,FALSE,8,-0.01269739965912046
Calidris ruficollis,0.04986685911656263,FALSE,8,0.029386627262952
Pernis ptilorhynchus,0.06777906449870368,FALSE,5,0.09071975239117096
Limosa limosa,0.06323117250712887,FALSE,8,0.05414537002920153
Phylloscopus pulcher,0.10327196583250212,FALSE,2,0.00210732419671533
Ardea purpurea,0.050924774920290024,FALSE,8,0.05973641238232527
Phylloscopus armandii,0.094125176115103,FALSE,5,0.00460664404589458
Butastur indicus,0.04051757106313759,FALSE,5,3.951344638887685e-4
Platalea leucorodia,0.05283528449220643,FALSE,8,0.04852120535783228
Emberiza tristrami,0.0418366172642055,FALSE,2,0.02962701935319677
Spatula querquedula,0.06424656524125784,FALSE,8,0.03274972693639453
Alcippe hueti,0.026649674497859096,FALSE,5,0.01322520030465775
Garrulax perspicillatus,0.0285359269388721,FALSE,5,0.02708613798119828
Cinclus pallasii,0.05926741031585286,FALSE,8,5.3960407954687e-4
Calidris ferruginea,0.06435068722368092,FALSE,8,0.0383175319787522
Tadorna tadorna,0.06444893790507247,FALSE,8,0.04613868709398138
Chlidonias leucopterus,0.05961089241801088,FALSE,8,0.04055855963244581
Anthus roseatus,0.09105795712984516,FALSE,8,0.02213728126709154
Phoenicurus frontalis,0.10016663548534652,FALSE,2,0.01347287083584733
Mareca strepera,0.07093023756825839,FALSE,8,0.05192175517231665
Periparus rubidiventris,0.10944230032170055,FALSE,2,-0.0119471671441464
Eremophila alpestris,0.10323558588367768,FALSE,8,0.00526507278623376
Aythya nyroca,0.07684212377394746,FALSE,8,0.06022549927006254
Calidris acuminata,0.04497916888788833,FALSE,8,0.0271562977565036
Ceryle rudis,0.03326620377091755,FALSE,8,0.02859983204185507
