mean,sd,q025,median,q975,metric,method,grid_cell,hfi_change_q
8.265048901196764,0.42242931894571345,7.472436735656865,8.24341629116434,9.138740026444788,corrected_richness,ols,706,Q2
7.168945864943768,0.3974898599008853,6.42520375835174,7.1409684412067165,7.991181700617776,corrected_richness,ols,708,Q2
6.997614699237261,0.3849514090654968,6.262476013454718,6.973080563557527,7.790159287393216,corrected_richness,ols,710,Q1 (low ΔHFI)
7.115773126505144,0.391788461877959,6.371495658190351,7.104433150654435,7.9527769766842304,corrected_richness,ols,711,Q1 (low ΔHFI)
6.5640366759156565,0.3740089590078125,5.843723661302759,6.54489259278477,7.323468187066376,corrected_richness,ols,712,Q1 (low ΔHFI)
7.331901457860254,0.40932136294752064,6.6276632644894455,7.283163018082346,8.189485600429723,corrected_richness,ols,716,Q1 (low ΔHFI)
6.389859773948073,0.3947902970756315,5.594661740283195,6.391009924565296,7.16937889955817,corrected_richness,ols,717,Q1 (low ΔHFI)
4.61431090620387,0.32496711058333466,3.972365665932155,4.60147113554328,5.276763072322027,corrected_richness,ols,735,Q2
4.886522472632054,0.30830123951250055,4.3348524116551355,4.863271154903515,5.512937919569526,corrected_richness,ols,736,Q1 (low ΔHFI)
4.92415324927836,0.2771771529516519,4.3940193038736854,4.927864408602472,5.465114509233016,corrected_richness,ols,737,Q2
5.177784268564829,0.32340398006763804,4.550687712606596,5.1660621870137104,5.831712430776303,corrected_richness,ols,738,Q2
5.556322192996839,0.36878668140865306,4.856447888502251,5.568182659961552,6.239705159525463,corrected_richness,ols,772,Q1 (low ΔHFI)
5.79833546587122,0.35180125467201595,5.085689343234425,5.824195051200713,6.536978130263115,corrected_richness,ols,773,Q1 (low ΔHFI)
6.433784703303765,0.3686735860176152,5.749605195759885,6.43519960273386,7.129448727232266,corrected_richness,ols,774,Q1 (low ΔHFI)
6.090583277249454,0.3365833751443521,5.41182339162818,6.099310188989956,6.789622352411147,corrected_richness,ols,775,Q1 (low ΔHFI)
6.326305150750278,0.33804360546793116,5.617872068484888,6.322290408614272,7.0196423453672665,corrected_richness,ols,776,Q1 (low ΔHFI)
6.897074139560152,0.3696164072700131,6.180088940087045,6.864883061668959,7.64261444664712,corrected_richness,ols,777,Q2
6.2025802678067254,0.33881314041158156,5.524563381444431,6.200100821647469,6.8942904747870895,corrected_richness,ols,778,Q2
5.255668179422498,0.32789438510376523,4.576764648587977,5.258444686727156,5.898472311821635,corrected_richness,ols,783,Q1 (low ΔHFI)
5.393071250072894,0.3408292942024344,4.713301558249833,5.402123050407349,6.005391356012449,corrected_richness,ols,784,Q1 (low ΔHFI)
5.230610845917796,0.29840957651399347,4.672009042178277,5.227872736443807,5.862076450333407,corrected_richness,ols,787,Q1 (low ΔHFI)
5.395663845921801,0.29969573586499376,4.848309857285169,5.389610237010451,5.977536684288638,corrected_richness,ols,788,Q1 (low ΔHFI)
4.134069284413103,0.32868124916761704,3.5243649711624734,4.137737926531118,4.799175794341363,corrected_richness,ols,804,Q3
4.779245007391307,0.35306239218733165,4.140252755688723,4.749574240466362,5.523940991641002,corrected_richness,ols,805,Q3
5.240250814924271,0.3536343779898909,4.578424505633006,5.220972662876479,5.954921401546117,corrected_richness,ols,806,Q2
4.348991980434356,0.3502192404923512,3.6739983680754698,4.356354279026558,5.020230419435253,corrected_richness,ols,807,Q2
4.743831802699082,0.3618051978044682,4.006506961357997,4.76591764337882,5.426068238529764,corrected_richness,ols,808,Q2
5.093617343636131,0.2818341808136711,4.527870519265645,5.08500526687159,5.630763211362584,corrected_richness,ols,809,Q3
5.240130001904307,0.3008675178322447,4.709470095064399,5.230388571138224,5.833693016122533,corrected_richness,ols,810,Q1 (low ΔHFI)
5.366068064631688,0.306821325775655,4.778020242562281,5.3567403835622045,5.965929376447955,corrected_richness,ols,811,Q2
5.69280971272908,0.3383581715150699,5.072816788518822,5.692929715699776,6.316486438116005,corrected_richness,ols,812,Q1 (low ΔHFI)
5.517262969759747,0.34997721103807466,4.851048934103334,5.516891330206663,6.242884384912684,corrected_richness,ols,813,Q1 (low ΔHFI)
7.91524089588435,0.37658890633703507,7.207045361904008,7.905048364280059,8.667919197864022,corrected_richness,ols,845,Q1 (low ΔHFI)
6.823126365396477,0.3889615198045347,6.071118695700025,6.812607693885067,7.6149212642583795,corrected_richness,ols,846,Q1 (low ΔHFI)
7.413513916688134,0.3647578121183102,6.739927150425004,7.4097874296917405,8.259812410432557,corrected_richness,ols,847,Q1 (low ΔHFI)
7.686316833348014,0.39240870255279703,6.889222894213942,7.649974615570326,8.533288364097787,corrected_richness,ols,848,Q2
7.571719118176021,0.3810653295073789,6.869142099169232,7.537705460049688,8.3673611663286,corrected_richness,ols,849,Q2
7.230365177328022,0.37885661227437695,6.5503822450576425,7.204347313631896,8.05309369610434,corrected_richness,ols,850,Q3
5.446389276807322,0.3515316702420572,4.787184864086724,5.429127074015463,6.131447586392197,corrected_richness,ols,851,Q3
4.100632196334898,0.3612157499218639,3.4408237396415866,4.087633884267393,4.824380896890035,corrected_richness,ols,855,Q1 (low ΔHFI)
