parameter,group,rhat,ess
beta.comm[363],beta.comm,1,82.55464482540667
beta.comm[364],beta.comm,1,99.55048489989174
beta.comm[365],beta.comm,1,102.223391062266
beta.comm[366],beta.comm,1,82.72846522591985
beta.comm[367],beta.comm,1,90.85419360496621
beta.comm[368],beta.comm,1,94.1246193102114
beta.comm[369],beta.comm,1,77.26509033049346
beta.comm[370],beta.comm,1,93.87699219052548
beta.comm[371],beta.comm,1,60
beta.comm[372],beta.comm,1,88.76859545884354
beta.comm[373],beta.comm,1,109.31484014936822
beta.comm[374],beta.comm,1,77.02364158495973
beta.comm[375],beta.comm,1,76.49210001667956
beta.comm[376],beta.comm,1,107.90689730214757
beta.comm[377],beta.comm,1,106.89905614611918
beta.comm[378],beta.comm,1,93.6988794929992
beta.comm[379],beta.comm,1,89.60684605551882
beta.comm[380],beta.comm,1,59.99999999999999
beta.comm[381],beta.comm,1,76.193977166167
beta.comm[382],beta.comm,1,92.40475385684802
beta.comm[383],beta.comm,1,76.40444006632973
beta.comm[384],beta.comm,1,98.00381410078619
beta.comm[385],beta.comm,1,127.18454695473329
beta.comm[386],beta.comm,1,74.44797448040588
beta.comm[387],beta.comm,1,99.04633708368561
beta.comm[388],beta.comm,1,78.24338083185522
beta.comm[389],beta.comm,1,89.21188074518233
beta.comm[390],beta.comm,1,113.10642092299936
beta.comm[391],beta.comm,1,106.58183318497281
beta.comm[392],beta.comm,1,92.9145659847072
beta.comm[393],beta.comm,1,105.76925291956535
beta.comm[394],beta.comm,1,93.74687491369676
beta.comm[395],beta.comm,1,95.58435841378106
beta.comm[396],beta.comm,1,74.30846620070113
beta.comm[397],beta.comm,1,100.74014017769751
beta.comm[398],beta.comm,1,93.06812738699278
beta.comm[399],beta.comm,1,111.54615470612313
beta.comm[400],beta.comm,1,77.61858065485262
beta.comm[401],beta.comm,1,75.57704085745242
beta.comm[402],beta.comm,1,94.08854851812501
beta.comm[403],beta.comm,1,92.60010507486886
beta.comm[404],beta.comm,1,96.46410333406
beta.comm[405],beta.comm,1,98.35828008106037
beta.comm[406],beta.comm,1,95.7486215694386
beta.comm[407],beta.comm,1,80.59191891816191
beta.comm[408],beta.comm,1,106.40482227027523
beta.comm[409],beta.comm,1,89.7979369719371
beta.comm[410],beta.comm,1,108.66593595633529
beta.comm[411],beta.comm,1,93.9056965414849
