metric,period,age_class,n_grid,mean,se
pd_prob_mctavish,P2,mid(15-30a),107,355915.4445179038,8162.029736726242
pd_prob_mctavish,P2,old(>30a),214,351152.6200430936,7062.816546978932
pd_prob_mctavish,P2,unprotected,924,381190.7792518082,3797.741917294196
pd_prob_mctavish,P3,mid(15-30a),107,379786.9572710615,8434.298637159427
pd_prob_mctavish,P3,old(>30a),214,372543.7020849614,7476.618367483415
pd_prob_mctavish,P3,unprotected,924,402863.03432615875,4004.474941260829
pd_prob_mctavish,P4,mid(15-30a),107,395283.5115561458,8672.410064178783
pd_prob_mctavish,P4,old(>30a),214,387886.2467864416,7774.9670006388915
pd_prob_mctavish,P4,unprotected,924,418983.869386521,4168.530897621825
pd_prob_mctavish,P5,mid(15-30a),107,447812.91131258366,9102.156582673657
pd_prob_mctavish,P5,old(>30a),214,435909.58375855675,8336.343986723956
pd_prob_mctavish,P5,unprotected,924,464900.88094228145,4455.068255399609
rao_q,P1,mid(15-30a),107,1.7012180806357717,0.00803588587847712
rao_q,P1,old(>30a),214,1.7283430976996588,0.007051688140778105
rao_q,P1,unprotected,924,1.7003277963787504,0.0031851326823266867
rao_q,P2,mid(15-30a),107,1.6944393080036793,0.007923920386612188
rao_q,P2,old(>30a),214,1.7215739602906253,0.006962161482712789
rao_q,P2,unprotected,924,1.6945760115161492,0.003133522803870996
rao_q,P3,mid(15-30a),107,1.690030241821863,0.007548926581139078
rao_q,P3,old(>30a),214,1.7175363343838739,0.0068514559959016045
rao_q,P3,unprotected,924,1.6924282729207532,0.0030718907946312743
rao_q,P4,mid(15-30a),107,1.6752329596875974,0.007273422866608087
rao_q,P4,old(>30a),214,1.7037257795151857,0.006811323487019528
rao_q,P4,unprotected,924,1.6806402863369427,0.0030605240903424326
rao_q,P5,mid(15-30a),107,1.6709865314349857,0.006917284355297298
rao_q,P5,old(>30a),214,1.6968948137780824,0.006546713448589003
rao_q,P5,unprotected,924,1.6765773155081196,0.002991355381681577
raoq_fund,P1,mid(15-30a),107,1.694332637306869,0.010552238721714612
raoq_fund,P1,old(>30a),214,1.730463134273707,0.009342715699357221
raoq_fund,P1,unprotected,924,1.6926949478904305,0.0040375064030048514
raoq_fund,P2,mid(15-30a),107,1.6834834731219515,0.010346462709097953
raoq_fund,P2,old(>30a),214,1.7203850035086217,0.009306245338848237
raoq_fund,P2,unprotected,924,1.68350452950368,0.004018823659593908
raoq_fund,P3,mid(15-30a),107,1.6762963185244513,0.00966067060089975
raoq_fund,P3,old(>30a),214,1.7160192791974673,0.009426931196147372
raoq_fund,P3,unprotected,924,1.6824443406668124,0.003959648839218862
raoq_fund,P4,mid(15-30a),107,1.6474922269180432,0.008096587237257539
raoq_fund,P4,old(>30a),214,1.697509846789211,0.009233660829439674
raoq_fund,P4,unprotected,924,1.6664316391461775,0.0038272004776908827
raoq_fund,P5,mid(15-30a),107,1.6498795415740717,0.0076401869048351905
raoq_fund,P5,old(>30a),214,1.686193128023188,0.008056107971362348
raoq_fund,P5,unprotected,924,1.6627000614352665,0.0036009733239720006
shannon,P1,mid(15-30a),107,4.775347084636852,0.021990219257328122
shannon,P1,old(>30a),214,4.714742980018737,0.018828778076888063
shannon,P1,unprotected,924,4.741324545766997,0.010111172885638616
shannon,P2,mid(15-30a),107,4.806097325420327,0.0224988778154254
shannon,P2,old(>30a),214,4.744384134888501,0.018928346245664137
shannon,P2,unprotected,924,4.7676327226700845,0.0101583475561256
shannon,P3,mid(15-30a),107,4.847584169576823,0.022670265631199157
shannon,P3,old(>30a),214,4.7858309200611835,0.018693191096204282
shannon,P3,unprotected,924,4.803071056056875,0.010059950371975648
shannon,P4,mid(15-30a),107,4.8690386778201695,0.022921966145172498
shannon,P4,old(>30a),214,4.809984019465882,0.0186518004682921
shannon,P4,unprotected,924,4.824324580847945,0.010027034545766205
shannon,P5,mid(15-30a),107,4.923844879666513,0.02233019298738924
shannon,P5,old(>30a),214,4.8719734931814855,0.017846495286006032
shannon,P5,unprotected,924,4.878581020572242,0.00964274153412717
trait_dispersion,P1,mid(15-30a),107,1.2589085655626824,0.006192204087984339
trait_dispersion,P1,old(>30a),214,1.27641870000289,0.005718291040272155
trait_dispersion,P1,unprotected,924,1.2506652370090154,0.002535166033290387
trait_dispersion,P2,mid(15-30a),107,1.2511903271435052,0.005955378277900472
trait_dispersion,P2,old(>30a),214,1.2685817099810262,0.0055441628598498485
trait_dispersion,P2,unprotected,924,1.2442288961027224,0.0024519276729984547
trait_dispersion,P3,mid(15-30a),107,1.2460320183160924,0.005608204865849286
trait_dispersion,P3,old(>30a),214,1.2639174029987945,0.005445792816562927
trait_dispersion,P3,unprotected,924,1.2413583919854883,0.0023912864277068394
trait_dispersion,P4,mid(15-30a),107,1.2362079309387186,0.005412109711192014
trait_dispersion,P4,old(>30a),214,1.2541075737909708,0.005343317709763804
trait_dispersion,P4,unprotected,924,1.2334173026977082,0.0023460213846462166
trait_dispersion,P5,mid(15-30a),107,1.2333435919427456,0.005102419870788357
trait_dispersion,P5,old(>30a),214,1.24950179852446,0.0050689236349564975
trait_dispersion,P5,unprotected,924,1.2314599356829594,0.0022719391007203034
trait_volume,P1,mid(15-30a),107,1.3799824311092403,0.005133559398180255
trait_volume,P1,old(>30a),214,1.3998721096989977,0.004781130512414671
trait_volume,P1,unprotected,924,1.3793677625897238,0.0020806914328638107
trait_volume,P2,mid(15-30a),107,1.3741100958363208,0.005020850825668727
trait_volume,P2,old(>30a),214,1.3939308226571938,0.0046813636871972444
trait_volume,P2,unprotected,924,1.3743830021206387,0.0020347350865295385
trait_volume,P3,mid(15-30a),107,1.3708334141561898,0.004755071788247647
trait_volume,P3,old(>30a),214,1.390945220584822,0.00458403196778793
trait_volume,P3,unprotected,924,1.372824704249929,0.001984092459896935
trait_volume,P4,mid(15-30a),107,1.3611710544678088,0.004474714494944942
trait_volume,P4,old(>30a),214,1.3817064928965905,0.004463124174273614
trait_volume,P4,unprotected,924,1.3649981350699132,0.0019266633514366995
trait_volume,P5,mid(15-30a),107,1.3585315782950864,0.004169597111513695
trait_volume,P5,old(>30a),214,1.3771929739322715,0.00419616115563366
trait_volume,P5,unprotected,924,1.3626195551750553,0.001838516076774597
