mean,sd,q025,median,q975,metric,grid_cell
1,0,1,1,1,synchrony,1850
1,0,1,1,1,synchrony,1851
1,0,1,1,1,synchrony,1852
1,0,1,1,1,synchrony,1853
1,0,1,1,1,synchrony,1854
1,0,1,1,1,synchrony,1855
1,0,1,1,1,synchrony,1856
1,0,1,1,1,synchrony,1875
1,0,1,1,1,synchrony,1876
1,0,1,1,1,synchrony,1877
1,0,1,1,1,synchrony,1878
1,0,1,1,1,synchrony,1879
1,0,1,1,1,synchrony,1880
1,0,1,1,1,synchrony,1881
1,0,1,1,1,synchrony,1882
1,0,1,1,1,synchrony,1884
1,0,1,1,1,synchrony,1892
1,0,1,1,1,synchrony,1895
1,0,1,1,1,synchrony,1896
1,0,1,1,1,synchrony,1897
1,0,1,1,1,synchrony,1899
1,0,1,1,1,synchrony,1900
1,0,1,1,1,synchrony,1901
1,0,1,1,1,synchrony,1902
1,0,1,1,1,synchrony,1903
1,0,1,1,1,synchrony,1904
1,0,1,1,1,synchrony,1905
1,0,1,1,1,synchrony,1906
1,0,1,1,1,synchrony,1907
1,0,1,1,1,synchrony,1908
1,0,1,1,1,synchrony,1909
1,0,1,1,1,synchrony,1910
1,0,1,1,1,synchrony,1911
1,0,1,1,1,synchrony,1912
1,0,1,1,1,synchrony,1913
1,0,1,1,1,synchrony,1914
1,0,1,1,1,synchrony,1916
1,0,1,1,1,synchrony,1917
1,0,1,1,1,synchrony,1918
1,0,1,1,1,synchrony,1919
1,0,1,1,1,synchrony,1920
1,0,1,1,1,synchrony,1921
1,0,1,1,1,synchrony,1922
1,0,1,1,1,synchrony,1923
1,0,1,1,1,synchrony,1924
1,0,1,1,1,synchrony,1925
1,0,1,1,1,synchrony,1926
1,0,1,1,1,synchrony,1927
1,0,1,1,1,synchrony,1928
1,0,1,1,1,synchrony,1950
1,0,1,1,1,synchrony,1951
1,0,1,1,1,synchrony,1952
1,0,1,1,1,synchrony,1953
1,0,1,1,1,synchrony,1967
1,0,1,1,1,synchrony,1968
1,0,1,1,1,synchrony,1969
1,0,1,1,1,synchrony,1970
